,missing_count,missing_pct
code,0,0.0
stknme_x,0,0.0
listingDate,0,0.0
end_date,0,0.0
current_asset,0,0.0
FS_Combas-A001107000,21290,39.61
FS_Combas-A001109000,42537,79.14
FS_Combas-A001123000,614,1.14
total_asset,0,0.0
FS_Combas-A001212000,3,0.01
FS_Combas-A001204000,31816,59.2
FS_Combas-A001207000,42536,79.14
FS_Combas-A001218000,299,0.56
FS_Combas-A001219000,32724,60.89
FS_Combas-A001200000,1,0.0
FS_Combas-A001000000,0,0.0
current_liability,8633,16.06
FS_Combas-A002107000,13411,24.95
FS_Combas-A002108000,159,0.3
FS_Combas-A002114000,29142,54.22
FS_Combas-A002125000,10383,19.32
FS_Combas-A002100000,0,0.0
FS_Combas-A002201000,18319,34.08
long_term_borrow,7476,13.91
noncurrent_liability,765,1.42
total_liability,0,0.0
revenue,0,0.0
cash,139,0.26
FS_Combas-A003103000,463,0.86
net_profit,0,0.0
equity,0,0.0
FS_Combas-A004000000,1,0.0
year,0,0.0
Top1,8994,16.73
HHI5,8994,16.73
Top2_to_Top1,8996,16.74
stknme_y,1519,2.83
industry_code,1520,2.83
industry_code,2449,4.56
industry_code,1519,2.83
industry_name,1520,2.83
industry_name,2449,4.56
industry_name,1519,2.83
province,1546,2.88
province,1519,2.83
list_year,1519,2.83
Lev_raw,0,0.0
SL_raw,8633,16.06
LL_raw,8633,16.06
SDR_raw,8633,16.06
ROA_raw,0,0.0
ROE_raw,0,0.0
Cash_raw,139,0.26
Size,0,0.0
Age,1519,2.83
Lev,0,0.0
SL,8633,16.06
LL,8633,16.06
SDR,8633,16.06
ROA,0,0.0
ROE,0,0.0
Cash,139,0.26
